Date,Opponent,Home Score,Away Score
"Aug 17, 2024",Bournemouth,1,1
"Aug 24, 2024",Southampton,0,1
"Aug 31, 2024",Wolverhampton Wanderers,1,1
"Sep 14, 2024",Liverpool,0,1
"Sep 22, 2024",Brighton,2,2
"Sep 28, 2024",Fulham,0,1
"Oct 06, 2024",Chelsea,1,1
"Oct 21, 2024",Crystal Palace,1,0
"Oct 25, 2024",Leicester,1,3
"Nov 02, 2024",West Ham,3,0
"Nov 10, 2024",Newcastle United,1,3
"Nov 23, 2024",Arsenal,3,0
"Nov 30, 2024",Ipswich,1,0
"Dec 04, 2024",Manchester City,3,0
"Dec 07, 2024",Manchester United,2,3
"Dec 14, 2024",Aston Villa,2,1
"Dec 21, 2024",Brentford,0,2
"Dec 26, 2024",Tottenham,1,0
"Dec 29, 2024",Everton,0,2
"Jan 07, 2025",Wolverhampton Wanderers,0,3
