team,normal_shots,normal_goals,normal_xg,standard_shots,standard_goals,standard_xg,slow_shots,slow_goals,slow_xg,fast_shots,fast_goals,fast_xg
Crystal_Palace,92,10,11.089449605438858,46,2,5.989258896559477,8,0,1.0127074541524053,18,5,5.04481190815568
Manchester_United,76,7,12.499497339129448,40,5,6.779615640640259,12,0,1.0638267062604427,6,1,1.2850497961044312
Southampton,110,12,14.806746545247734,60,8,9.141869673505424,31,4,3.3081856686621904,12,0,1.3652758561074734
West_Ham,106,11,13.031683627516031,41,4,4.153836063109338,20,2,3.0013429587706923,13,2,2.232452191412449
Aston_Villa,75,10,9.851310363039374,38,4,4.34329916536808,12,0,0.9181056516245008,12,5,3.461003026925028
Nottingham_Forest,106,9,8.514629025943577,38,3,3.601890723221004,13,0,1.103231282904744,7,1,1.8690567146986723
Newcastle_United,99,4,12.340395282953978,37,2,3.042820493690669,14,1,1.61331051774323,10,4,2.42941277846694
Fulham,96,12,9.08055979013443,38,3,3.049542653374374,4,1,1.5209785336628556,7,1,1.1032941825687883
Manchester_City,67,11,12.63391142897308,17,2,3.013996590860188,5,2,1.6181537602096796,7,2,2.659355401992798
Liverpool,59,5,6.098013833165169,38,2,5.5008681658655405,14,1,0.5781693011522293,5,0,0.6429934892803431
Arsenal,105,6,9.353523844853044,31,5,4.38673479296267,18,0,0.6959176929667592,4,1,0.7871963530778885
Bournemouth,101,12,13.07794275227934,38,3,4.682588235475123,6,2,0.7854375718161464,6,0,0.4217203948646784
Everton,90,10,12.508275495376438,48,3,5.7760865511372685,13,2,1.4828072981908915,5,2,1.0589605420827866
Ipswich,116,17,22.142096726223823,40,4,4.359754309989512,16,1,0.8797471504658461,12,1,3.698764005675912
Wolverhampton_Wanderers,102,16,14.037316340021787,57,9,6.29613918159157,13,1,0.5353535832837224,7,2,1.4336365722119808
Brentford,145,15,13.695868209935725,47,1,3.5521970773115754,28,2,3.4600956686772406,11,4,2.072958564385772
Tottenham,73,9,11.162269238382578,41,2,3.640934091992676,13,2,1.6224395306780934,2,0,0.1372640281915664
Leicester,108,13,13.435639541596174,61,3,9.002510574646294,27,3,4.178604461252689,15,4,4.291536312550306
Chelsea,90,8,10.490822760388255,36,6,6.057245965115726,6,0,0.2211191412061453,12,0,1.5292345248162746
Brighton,92,9,11.43939247354865,38,4,4.795439232606441,12,1,0.8057274632155895,11,2,3.842179827392101
